id,formattedAddress,city,state,zipCode,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listingType,listedDate,daysOnMarket,listingWebsite
"12025-5th-Ave-NE,-Unit-2,-Seattle,-WA-98125","12025 5th Ave NE, Unit 2, Seattle, WA 98125",Seattle,WA,98125,47.716663,-122.323975,Apartment,2,1,800,,Active,1850,Standard,2025-11-22T00:00:00.000Z,1,
"409-Federal-Ave-E,-Unit-411A,-Seattle,-WA-98102","409 Federal Ave E, Unit 411A, Seattle, WA 98102",Seattle,WA,98102,47.622349,-122.319054,Apartment,1,1,700,,Active,1945,Standard,2025-11-22T00:00:00.000Z,1,
"5221-Ravenna-Ave-NE,-Unit-B06,-Seattle,-WA-98105","5221 Ravenna Ave NE, Unit B06, Seattle, WA 98105",Seattle,WA,98105,47.667057,-122.303673,Apartment,0,1,251,,Active,1050,Standard,2025-11-22T00:00:00.000Z,1,
"3415-Ne-70th-St,-Apt-1,-Seattle,-WA-98115","3415 Ne 70th St, Apt 1, Seattle, WA 98115",Seattle,WA,98115,47.679176,-122.290932,Apartment,2,1,850,,Active,1925,Standard,2025-11-22T00:00:00.000Z,1,
"10329-Meridian-Ave-N,-Unit-A01,-Seattle,-WA-98133","10329 Meridian Ave N, Unit A01, Seattle, WA 98133",Seattle,WA,98133,47.70413,-122.334559,Single Family,2,2,854,,Active,2250,Standard,2025-11-22T00:00:00.000Z,1,
"4532-42nd-Ave-SW,-Unit-202,-Seattle,-WA-98116","4532 42nd Ave SW, Unit 202, Seattle, WA 98116",Seattle,WA,98116,47.561924,-122.385094,Apartment,1,1,676,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1,
"1725-17th-Ave,-Seattle,-WA-98122","1725 17th Ave, Seattle, WA 98122",Seattle,WA,98122,47.61714,-122.31058,Single Family,3,2,1507,,Active,4250,Standard,2025-11-22T00:00:00.000Z,1,
"5268-University-Way-NE,-Unit-1405,-Seattle,-WA-98105","5268 University Way NE, Unit 1405, Seattle, WA 98105",Seattle,WA,98105,47.668327,-122.312805,Condo,0,1,800,,Active,1250,Standard,2025-11-22T00:00:00.000Z,1,
"151-10th-Ave,-Seattle,-WA-98122","151 10th Ave, Seattle, WA 98122",Seattle,WA,98122,47.602879,-122.319588,Apartment,2,1,800,,Active,1995,Standard,2025-11-22T00:00:00.000Z,1,
"2711-Ne-115th-St,-Apt-203,-Seattle,-WA-98125","2711 Ne 115th St, Apt 203, Seattle, WA 98125",Seattle,WA,98125,47.711666,-122.298935,Apartment,2,1,976,,Active,1900,Standard,2025-11-22T00:00:00.000Z,1,
